change,filingDate,id,name,share,symbol,transactionCode,transactionDate,transactionPrice,dollarAmount,insiderPortfolioChange,buyOrSale
-7777,2023-01-26,0001209191-23-005060,LESLIE ERICKA T,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-4120,2023-01-26,0001209191-23-005060,LESLIE ERICKA T,11847,GS,F,2023-01-24,349.14,-1438456.8,-0.2580321913947517,Sale
7777,2023-01-26,0001209191-23-005060,LESLIE ERICKA T,15967,GS,M,2023-01-24,0.0,0.0,0.9495726495726495,Gift
-9794,2023-01-26,0001209191-23-005057,ROGERS JOHN F.W.,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-4771,2023-01-26,0001209191-23-005057,ROGERS JOHN F.W.,70321,GS,F,2023-01-24,349.14,-1665746.94,-0.06353539658019496,Sale
9794,2023-01-26,0001209191-23-005057,ROGERS JOHN F.W.,75092,GS,M,2023-01-24,0.0,0.0,0.14998927991668964,Gift
-20074,2023-01-26,0001209191-23-005059,Ruemmler Kathryn H.,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-10630,2023-01-26,0001209191-23-005059,Ruemmler Kathryn H.,11611,GS,F,2023-01-24,349.14,-3711358.1999999997,-0.4779461355154894,Sale
20074,2023-01-26,0001209191-23-005059,Ruemmler Kathryn H.,22241,GS,M,2023-01-24,0.0,0.0,9.2634979233964,Gift
-8571,2023-01-26,0001209191-23-005058,LEE BRIAN J,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-4175,2023-01-26,0001209191-23-005058,LEE BRIAN J,18052,GS,F,2023-01-24,349.14,-1457659.5,-0.1878346155576551,Sale
8571,2023-01-26,0001209191-23-005058,LEE BRIAN J,22227,GS,M,2023-01-24,0.0,0.0,0.6276362038664324,Gift
-17605,2023-01-26,0001209191-23-005055,COLEMAN DENIS P.,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-8236,2023-01-26,0001209191-23-005055,COLEMAN DENIS P.,35155,GS,F,2023-01-24,349.14,-2875517.04,-0.18980894655573735,Sale
17605,2023-01-26,0001209191-23-005055,COLEMAN DENIS P.,43391,GS,M,2023-01-24,0.0,0.0,0.6827348173427441,Gift
-5985,2023-01-26,0001209191-23-005056,FREDMAN SHEARA J,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-3170,2023-01-26,0001209191-23-005056,FREDMAN SHEARA J,13965,GS,F,2023-01-24,349.14,-1106773.8,-0.1850014590020426,Sale
5985,2023-01-26,0001209191-23-005056,FREDMAN SHEARA J,17135,GS,M,2023-01-24,0.0,0.0,0.5367713004484305,Gift
-21048,2023-01-26,0001209191-23-005054,BERLINSKI PHILIP R.,0,GS,M,2023-01-24,0.0,-0.0,-1.0,Gift
-9677,2023-01-26,0001209191-23-005054,BERLINSKI PHILIP R.,25116,GS,F,2023-01-24,349.14,-3378627.78,-0.27813065846578333,Sale
21048,2023-01-26,0001209191-23-005054,BERLINSKI PHILIP R.,34793,GS,M,2023-01-24,0.0,0.0,1.531320480174609,Gift
1072,2023-01-20,0001209191-23-004263,UHL JESSICA R.,1811,GS,A,2023-01-18,0.0,0.0,1.4506089309878214,Gift
1089,2023-01-20,0001209191-23-004267,OPPENHEIMER PETER,3937,GS,A,2023-01-18,0.0,0.0,0.382373595505618,Gift
1002,2023-01-20,0001209191-23-004268,VINIAR DAVID A,3214,GS,A,2023-01-18,0.0,0.0,0.45298372513562385,Gift
1089,2023-01-20,0001209191-23-004271,Winkelman Marius O,3937,GS,A,2023-01-18,0.0,0.0,0.382373595505618,Gift
1072,2023-01-20,0001209191-23-004269,MITTAL LAKSHMI N,3792,GS,A,2023-01-18,0.0,0.0,0.3941176470588235,Gift
1002,2023-01-20,0001209191-23-004272,HARRIS KIMBERLEY D.,1673,GS,A,2023-01-18,0.0,0.0,1.4932935916542474,Gift
1072,2023-01-20,0001209191-23-004273,Tighe Jan E,3520,GS,A,2023-01-18,0.0,0.0,0.43790849673202614,Gift
1002,2023-01-20,0001209191-23-004275,Flaherty Mark A.,3214,GS,A,2023-01-18,0.0,0.0,0.45298372513562385,Gift
1002,2023-01-20,0001209191-23-004261,BURNS M MICHELE,3214,GS,A,2023-01-18,0.0,0.0,0.45298372513562385,Gift
321,2023-01-20,0001209191-23-004262,JOHNSON KEVIN R,321,GS,A,2023-01-18,0.0,0.0,inf,Gift
1089,2023-01-20,0001209191-23-004264,Kullman Ellen Jamison,3937,GS,A,2023-01-18,0.0,0.0,0.382373595505618,Gift
1002,2023-01-20,0001209191-23-004265,Faust Drew G,3214,GS,A,2023-01-18,0.0,0.0,0.45298372513562385,Gift
1089,2023-01-20,0001209191-23-004266,Ogunlesi Adebayo O.,3937,GS,A,2023-01-18,0.0,0.0,0.382373595505618,Gift
-3371,2022-11-25,0001209191-22-058769,WALDRON JOHN E.,76683,GS,S,2022-11-25,385.98,-1301138.58,-0.04210907637344792,Sale
-4000,2022-11-25,0001209191-22-058768,VINIAR DAVID A,633425,GS,G,2022-11-23,0.0,-0.0,-0.006275248068400204,Gift
-3370,2022-11-25,0001209191-22-058769,WALDRON JOHN E.,80054,GS,S,2022-11-23,387.1,-1304527.0,-0.040396049098580744,Sale
-5176,2022-11-25,0001209191-22-058769,WALDRON JOHN E.,83424,GS,S,2022-11-22,383.82,-1986652.32,-0.058419864559819415,Sale
-1564,2022-11-25,0001209191-22-058769,WALDRON JOHN E.,88600,GS,S,2022-11-22,383.14,-599230.96,-0.017346169202786036,Sale
-2634,2022-11-16,0001209191-22-057317,LEE BRIAN J,13656,GS,S,2022-11-14,386.33,-1017593.22,-0.16169429097605892,Sale
-7366,2022-11-16,0001209191-22-057317,LEE BRIAN J,16290,GS,S,2022-11-14,385.67,-2840845.22,-0.31137977680081164,Sale
-215,2022-12-05,0001209191-22-059826,LESLIE ERICKA T,8190,GS,S,2022-11-11,380.0,-81700.0,-0.02558001189767995,Sale
-926,2022-11-01,0001209191-22-055044,SOLOMON DAVID M,115019,GS,S,2022-10-28,341.53,-316256.77999999997,-0.00798654534477554,Sale
-6474,2022-11-01,0001209191-22-055044,SOLOMON DAVID M,115945,GS,S,2022-10-28,341.11,-2208346.14,-0.052883947753208246,Sale
81,2022-10-21,0001209191-22-054274,MITTAL LAKSHMI N,2720,GS,A,2022-10-19,0.0,0.0,0.030693444486547934,Gift
81,2022-10-21,0001209191-22-054276,Tighe Jan E,2448,GS,A,2022-10-19,0.0,0.0,0.034220532319391636,Gift
101,2022-10-21,0001209191-22-054272,OPPENHEIMER PETER,2848,GS,A,2022-10-19,0.0,0.0,0.03676738259919913,Gift
81,2022-10-21,0001209191-22-054273,UHL JESSICA R.,739,GS,A,2022-10-19,0.0,0.0,0.12310030395136778,Gift
101,2022-10-21,0001209191-22-054275,Winkelman Marius O,2848,GS,A,2022-10-19,0.0,0.0,0.03676738259919913,Gift
