change,filingDate,id,name,share,symbol,transactionCode,transactionDate,transactionPrice,DollarVolume,Transaction Type
-10500,2023-03-29,0001790565-23-000004,Baglino Andrew D,65547,TSLA,S,2023-03-27,194.36,-2040780.0000000002,Sale
10500,2023-03-29,0001790565-23-000004,Baglino Andrew D,76047,TSLA,M,2023-03-27,20.91,219555.0,Buy
5250,2023-03-10,0000899243-23-008179,Musk Elon,411062076,TSLA,M,2023-03-08,6.67,35017.5,Buy
10500,2023-03-01,0001790565-23-000002,Baglino Andrew D,74759,TSLA,M,2023-02-27,20.91,219555.0,Buy
-3750,2023-02-08,0001771364-23-000003,Kirkhorn Zachary,196661,TSLA,S,2023-02-06,193.0,-723750.0,Sale
-10500,2023-01-31,0001790565-23-000001,Baglino Andrew D,64259,TSLA,S,2023-01-27,162.5,-1706250.0,Sale
10500,2023-01-31,0001790565-23-000001,Baglino Andrew D,74759,TSLA,M,2023-01-27,20.91,219555.0,Buy
-3752,2023-01-06,0001771364-23-000002,Kirkhorn Zachary,200411,TSLA,S,2023-01-04,109.31,-410131.12,Sale
13350,2023-01-03,0001771364-23-000001,Kirkhorn Zachary,204164,TSLA,M,2022-12-28,18.44,246174.00000000003,Buy
13500,2022-12-30,0001771364-22-000011,Kirkhorn Zachary,204314,TSLA,M,2022-12-28,18.44,248940.00000000003,Buy
-10500,2022-12-29,0001790565-22-000017,Baglino Andrew D,64259,TSLA,S,2022-12-27,117.5,-1233750.0,Sale
10500,2022-12-29,0001790565-22-000017,Baglino Andrew D,74759,TSLA,M,2022-12-27,20.91,219555.0,Buy
-129795,2022-12-14,0000899243-22-038522,Musk Elon,432462379,TSLA,S,2022-12-13,169.449,-21993632.955000002,Sale
-240269,2022-12-14,0000899243-22-038522,Musk Elon,432592174,TSLA,S,2022-12-13,168.529,-40492294.301,Sale
-473518,2022-12-14,0000899243-22-038522,Musk Elon,432832443,TSLA,S,2022-12-13,167.587,-79355461.066,Sale
-380964,2022-12-14,0000899243-22-038522,Musk Elon,433305961,TSLA,S,2022-12-13,166.515,-63436220.45999999,Sale
-89471,2022-12-14,0000899243-22-038522,Musk Elon,433686925,TSLA,S,2022-12-13,165.728,-14827849.888,Sale
-234591,2022-12-14,0000899243-22-038522,Musk Elon,433776396,TSLA,S,2022-12-13,164.246,-38530633.386,Sale
-466672,2022-12-14,0000899243-22-038522,Musk Elon,434010987,TSLA,S,2022-12-13,163.546,-76322338.912,Sale
-2208110,2022-12-14,0000899243-22-038522,Musk Elon,434477659,TSLA,S,2022-12-13,162.425,-358652266.75,Sale
-1868138,2022-12-14,0000899243-22-038522,Musk Elon,436685769,TSLA,S,2022-12-13,161.444,-301599671.27199996,Sale
-2294072,2022-12-14,0000899243-22-038522,Musk Elon,438553907,TSLA,S,2022-12-13,160.754,-368781250.288,Sale
-702969,2022-12-14,0000899243-22-038522,Musk Elon,440847979,TSLA,S,2022-12-13,159.52,-112137614.88000001,Sale
-626066,2022-12-14,0000899243-22-038522,Musk Elon,441550948,TSLA,S,2022-12-13,158.51,-99237721.66,Sale
-235418,2022-12-14,0000899243-22-038522,Musk Elon,442177014,TSLA,S,2022-12-13,157.55,-37090105.900000006,Sale
-363749,2022-12-14,0000899243-22-038522,Musk Elon,442412432,TSLA,S,2022-12-12,169.976,-61828600.024,Sale
-1020447,2022-12-14,0000899243-22-038522,Musk Elon,442776181,TSLA,S,2022-12-12,168.929,-172383091.263,Sale
-1820804,2022-12-14,0000899243-22-038522,Musk Elon,443796628,TSLA,S,2022-12-12,168.055,-305995216.22,Sale
-3768,2022-12-07,0001771340-22-000012,Taneja Vaibhav,95785,TSLA,S,2022-12-06,178.073,-670979.064,Sale
-7584,2022-12-07,0001771364-22-000010,Kirkhorn Zachary,190814,TSLA,S,2022-12-06,178.074,-1350513.216,Sale
-1312,2022-12-07,0001790565-22-000016,Baglino Andrew D,64259,TSLA,S,2022-12-06,178.073,-233631.776,Sale
-3750,2022-12-07,0001771364-22-000010,Kirkhorn Zachary,181526,TSLA,S,2022-12-05,189.5,-710625.0,Sale
-10500,2022-11-30,0001790565-22-000015,Baglino Andrew D,62989,TSLA,S,2022-11-28,179.57,-1885485.0,Sale
10500,2022-11-30,0001790565-22-000015,Baglino Andrew D,73489,TSLA,M,2022-11-28,20.91,219555.0,Buy
-4769,2022-11-08,0000899243-22-035394,Musk Elon,445617432,TSLA,S,2022-11-08,197.7,-942831.2999999999,Sale
-8575,2022-11-08,0000899243-22-035394,Musk Elon,445622201,TSLA,S,2022-11-08,196.849,-1687980.1749999998,Sale
-67609,2022-11-08,0000899243-22-035394,Musk Elon,445630776,TSLA,S,2022-11-08,195.148,-13193761.132,Sale
-198124,2022-11-08,0000899243-22-035394,Musk Elon,445698385,TSLA,S,2022-11-08,194.975,-38629226.9,Sale
-78604,2022-11-08,0000899243-22-035394,Musk Elon,445896509,TSLA,S,2022-11-08,193.339,-15197218.756,Sale
-376134,2022-11-08,0000899243-22-035394,Musk Elon,445975113,TSLA,S,2022-11-08,192.204,-72294459.336,Sale
-3107623,2022-11-08,0000899243-22-035394,Musk Elon,446351247,TSLA,S,2022-11-08,191.467,-595007252.941,Sale
-366242,2022-11-08,0000899243-22-035394,Musk Elon,449458870,TSLA,S,2022-11-08,190.45,-69750788.89999999,Sale
-192320,2022-11-08,0000899243-22-035394,Musk Elon,449825112,TSLA,S,2022-11-08,189.578,-36459640.96,Sale
-157983,2022-11-08,0000899243-22-035393,Musk Elon,450017432,TSLA,S,2022-11-07,208.731,-32975949.573,Sale
-20459,2022-11-08,0000899243-22-035393,Musk Elon,450175415,TSLA,S,2022-11-07,207.957,-4254592.263,Sale
-42932,2022-11-08,0000899243-22-035393,Musk Elon,450195874,TSLA,S,2022-11-07,206.433,-8862581.556,Sale
-52445,2022-11-08,0000899243-22-035393,Musk Elon,450238806,TSLA,S,2022-11-07,205.333,-10768689.185,Sale
-239491,2022-11-08,0000899243-22-035393,Musk Elon,450291251,TSLA,S,2022-11-07,204.629,-49006803.838999994,Sale
-383525,2022-11-08,0000899243-22-035393,Musk Elon,450530742,TSLA,S,2022-11-07,203.475,-78037749.375,Sale
-513373,2022-11-08,0000899243-22-035393,Musk Elon,450914267,TSLA,S,2022-11-07,202.431,-103922609.76300001,Sale
-318902,2022-11-08,0000899243-22-035393,Musk Elon,451427640,TSLA,S,2022-11-07,201.542,-64272146.884,Sale
-1047768,2022-11-08,0000899243-22-035393,Musk Elon,451746542,TSLA,S,2022-11-07,200.305,-209873169.24,Sale
-1747633,2022-11-08,0000899243-22-035393,Musk Elon,452794310,TSLA,S,2022-11-07,199.452,-348568897.116,Sale
-151958,2022-11-08,0000899243-22-035393,Musk Elon,454541943,TSLA,S,2022-11-07,197.983,-30085100.714,Sale
-773531,2022-11-08,0000899243-22-035393,Musk Elon,454693901,TSLA,S,2022-11-07,197.196,-152537219.076,Sale
-244561,2022-11-08,0000899243-22-035390,Musk Elon,455467432,TSLA,S,2022-11-04,219.909,-53781164.949,Sale
-249580,2022-11-08,0000899243-22-035390,Musk Elon,455711993,TSLA,S,2022-11-04,219.215,-54711679.7,Sale
-196661,2022-11-08,0000899243-22-035390,Musk Elon,455961573,TSLA,S,2022-11-04,217.7,-42813099.699999996,Sale
-90493,2022-11-08,0000899243-22-035390,Musk Elon,456158234,TSLA,S,2022-11-04,216.633,-19603770.069000002,Sale
-222303,2022-11-08,0000899243-22-035390,Musk Elon,456341772,TSLA,S,2022-11-04,214.856,-47763133.368,Sale
-307416,2022-11-08,0000899243-22-035390,Musk Elon,456701952,TSLA,S,2022-11-04,212.491,-65323133.256000005,Sale
-663677,2022-11-08,0000899243-22-035390,Musk Elon,457009368,TSLA,S,2022-11-04,211.41,-140307954.57,Sale
